step,episode,mean_reward,ep_ee_gbits_j,ep_energy_mj,ep_mean_lat_ms,epsilon
5000,1,2371.371563,0.017003241176081256,2775.2429400000105,0.014473346865301849,0.9050190000000005
10000,2,2440.097115,0.0181594967080015,2598.537051428567,0.012070322354671108,0.8100190000000004
15000,3,2516.781497,0.01989547230127075,2371.8022028571304,0.0319727460871207,0.7150190000000003
20000,4,2585.431894,0.021293293443429208,2216.1026971428196,0.014176045183660068,0.6200190000000002
25000,5,2659.025419,0.02316161748122725,2037.3415228570925,0.012919775533204916,0.5250190000000001
30000,6,2738.91927,0.025623087220792127,1841.6252742856711,0.012137034294611358,0.43001900000000004
35000,7,2813.089326,0.02818465474594796,1674.2488228570942,0.014857506635453165,0.33501899999999996
40000,8,2898.644038,0.03212354269844812,1468.9576885713986,0.023311092656331352,0.24001899999999987
45000,9,2973.455442,0.03620017320369297,1303.5331285714144,0.021546646461254086,0.1450189999999998
50000,10,3073.413473,0.04326347573911464,1090.715071428578,0.022570442703025134,0.0500189999999997
55000,11,3117.622682,0.047397191469618676,995.5890542857228,0.0246269936132719,0.05
60000,12,3114.627355,0.047181599141852264,1000.1383142857261,0.026356802505873883,0.05
65000,13,3118.037863,0.04754558044798183,992.481837142867,0.02744690550510598,0.05
70000,14,3107.577189,0.04651039417132922,1014.5716000000175,0.02634390834995203,0.05
75000,15,3108.861099,0.046748338302092754,1009.4075371428667,0.030715382215847863,0.05
80000,16,3114.25345,0.047421917387105265,995.0699514285802,0.033302673000194835,0.05
85000,17,3107.266507,0.04653219576589503,1014.0962457142997,0.027902258337402355,0.05
90000,18,3115.222365,0.04721132629545238,999.5085657142904,0.025818877443842446,0.05
95000,19,3113.330521,0.04719737450279218,999.8040257142978,0.030775249869544625,0.05
100000,20,3109.055891,0.046930871847943555,1005.4815342857239,0.033783035435072155,0.05
105000,21,3107.171508,0.04640004805485354,1016.9844000000126,0.02475538827121718,0.05
110000,22,3114.191006,0.04736573517014807,996.2502400000112,0.03195946044653537,0.05
115000,23,3109.923493,0.04666408284757576,1011.2300971428702,0.025827471532444714,0.05
120000,24,3121.19348,0.04767415294058767,989.8052114285832,0.023483438773508742,0.05
125000,25,3115.844107,0.047596671742893996,991.4164857142977,0.03646146306050901,0.05
130000,26,3114.1379,0.047178655061799885,1000.2007257143023,0.02824138246803646,0.05
135000,27,3118.63299,0.04780042290942319,987.1905342857227,0.03196350367447004,0.05
140000,28,3118.471489,0.047653615486289054,990.2317914285852,0.029773090777273883,0.05
145000,29,3118.301862,0.04751885039173293,993.0401228571496,0.027467570924445694,0.05
150000,30,3112.484136,0.04680978706694391,1008.0824542857245,0.02288432901622817,0.05
155000,31,3115.303199,0.04742374897936564,995.0315200000073,0.03159614769596666,0.05
160000,32,3114.716131,0.04759244858165988,991.5044600000112,0.036049098260652244,0.05
165000,33,3121.60823,0.04784384294252737,986.2946228571549,0.02672446626708806,0.05
170000,34,3112.150233,0.04723560180432772,998.9948942857252,0.03267506354205739,0.05
175000,35,3111.462817,0.04674367481882368,1009.5082428571559,0.02249540887810181,0.05
180000,36,3114.74613,0.047419485649912274,995.1209800000073,0.032486403586326255,0.05
185000,37,3120.395247,0.0480750727623015,981.5507771428684,0.03306286436563713,0.05
190000,38,3110.716643,0.046659058104501105,1011.3389971428686,0.022847063542461982,0.05
195000,39,3111.510054,0.04730083440527402,997.6171800000112,0.03700777651153008,0.05
200000,40,3113.150679,0.046858501712251775,1007.03444000001,0.022202581023200763,0.05
205000,41,3113.333598,0.047287722973594626,997.8937885714382,0.03380830194953661,0.05
210000,42,3116.97532,0.04771292453190058,989.000894285725,0.03341562683307566,0.05
215000,43,3110.092529,0.0468041825653315,1008.203165714294,0.028710337766935618,0.05
220000,44,3114.103521,0.047325841471902726,997.0900371428683,0.03179453207169913,0.05
225000,45,3121.079779,0.047328268903309566,997.0388971428705,0.015119485666548891,0.05
230000,46,3110.848061,0.04666128393942037,1011.2907542857286,0.02328279886905257,0.05
235000,47,3112.217613,0.04725528518745048,998.578780000013,0.03545463059270228,0.05
240000,48,3114.940365,0.0473399995946502,996.7918342857279,0.030445319930772333,0.05
245000,49,3114.544075,0.047264331202808076,998.3876600000093,0.029929891676643058,0.05
250000,50,3106.575993,0.04645184405837556,1015.8504142857308,0.028596387822027572,0.05
255000,51,3115.319254,0.04738294039661672,995.8884914285808,0.027089386286581862,0.05
260000,52,3123.628646,0.048432118667011644,974.3146971428699,0.034061728004202374,0.05
265000,53,3114.073933,0.04749214818873663,993.5984542857182,0.036503323612028495,0.05
270000,54,3115.649521,0.047080565175384385,1002.2845914285845,0.02226734480760415,0.05
275000,55,3113.494914,0.04726778448286972,998.3147200000117,0.030488592566669456,0.05
280000,56,3118.623536,0.047690254081162696,989.4710342857231,0.028904761550352612,0.05
285000,57,3116.786951,0.047429499581459124,994.9108771428722,0.028709748695541798,0.05
290000,58,3114.533545,0.04716571700316579,1000.4750914285835,0.02659976351873324,0.05
295000,59,3106.544355,0.04671572071414423,1010.1123200000147,0.034899590080120446,0.05
300000,60,3114.140674,0.047080886206187965,1002.2777571428746,0.02560312562046987,0.05
305000,61,3111.889361,0.04683905416949494,1007.4525600000135,0.026150306609814142,0.05
